CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT
27503000,CLEMENT,POINT (-122.47737431080806 37.7823605689306),ST,27503000
54081000,JESSIE,POINT (-122.40655865500776 37.783518039198775),ST,54081000
26884000,WASHINGTON,POINT (-122.44593376788154 37.790118611714135),ST,26884000
21527000,ROME,POINT (-122.4451797855145 37.71657567304997),ST,21527000
21129000,MONTCALM,POINT (-122.40897329189373 37.745664595610336),ST,21129000
21732000,LONDON,POINT (-122.43964030487463 37.71695853125261),ST,21732000
34064000,AVENUE M,POINT (-122.36654098738069 37.824636189843105),,34064000
24771000,WALTER U LUM,POINT (-122.40566321739146 37.79434522279634),PL,24771000
22252000,COLON,POINT (-122.45576580401385 37.72995204717249),AVE,22252000
30755000,VALENCIA,POINT (-122.42261969061566 37.77250281741758),ST,30755000
54002000,FREMONT,POINT (-122.39628593197175 37.79013928136964),ST,54002000
25683000,19TH,POINT (-122.42592030204635 37.75982961338027),ST,25683000
32843000,MARTIN LUTHER KING JR,POINT (-122.50797141610816 37.764937536849686),DR,32843000
33268000,SAN BRUNO,POINT (-122.40661495264935 37.73418446774777),AVE,33268000
21418000,HANOVER,POINT (-122.43957483968545 37.71021713628112),ST,21418000
20694000,SILVER,POINT (-122.39766569506239 37.73686374555429),AVE,20694000
52143000,HWY 101 N OFF,POINT (-122.40504883171711 37.744884872154024),RAMP,52143000
26163000,ORD,POINT (-122.44006866231973 37.76117788614999),ST,26163000
33616000,20TH,POINT (-122.43243216487852 37.75727913311509),ST,33616000
24935000,EDDY,POINT (-122.41424157295658 37.78372378300351),ST,24935000
23470000,41ST,POINT (-122.49952544488352 37.74573900254774),AVE,23470000
25041000,JAMES,POINT (-122.40874323384745 37.795761981844365),PL,25041000
27211000,CABRILLO,POINT (-122.45846290151523 37.775618427525124),ST,27211000
51527000,STOREY,POINT (-122.469907924196 37.800997347015084),AVE,51527000
32995000,BENGAL,POINT (-122.46071458824608 37.73833965107756),ALY,32995000
27530000,22ND,POINT (-122.48124684461426 37.776448754968676),AVE,27530000
52252000,CESAR CHAVEZ,POINT (-122.4032609688135 37.74953040991504),ST,52252000
50876000,MEADE,POINT (-122.40040615986315 37.7195248644706),AVE,50876000
26869000,VALLEJO,POINT (-122.44004521732035 37.79459776083889),ST,26869000
27834000,ANZA,POINT (-122.4888755217412 37.77797180912282),ST,27834000
22651000,COLON,POINT (-122.45688129156048 37.73243410720617),AVE,22651000
22228000,FOERSTER,POINT (-122.44884943486515 37.7290725968308),ST,22228000
27152000,07TH,POINT (-122.4642968287202 37.76596283467643),AVE,27152000
50195000,MCCORMICK,POINT (-122.41902100825516 37.79489868915188),ST,50195000
51384000,STILWELL,POINT (-122.47896688328194 37.79164375349791),RD,51384000
26078000,TURK,POINT (-122.43789452760167 37.77976494812268),ST,26078000
24988000,SACRAMENTO,POINT (-122.40664329436864 37.79331488021903),ST,24988000
27986000,GEARY,POINT (-122.50508957140511 37.77915986564192),BLVD,27986000
34079000,10TH TI,POINT (-122.36823151047557 37.827165405748886),ST,34079000
33586000,UNNAMED 033,POINT (-122.46300416382175 37.75083650550325),,33586000
20643000,CARROLL,POINT (-122.40269821871222 37.730266428170445),AVE,20643000
24632000,04TH,POINT (-122.40426687252413 37.78447874484177),ST,24632000
22109000,OTSEGO,POINT (-122.43879172689826 37.727211217867705),AVE,22109000
26398000,OFARRELL,POINT (-122.44558381047078 37.78132068815363),ST,26398000
26460000,TAMALPAIS,POINT (-122.44887920702946 37.778389428690126),TER,26460000
51497000,FORT MILEY 5,POINT (-122.5066837430087 37.78337857498464),,51497000
20432000,SANTOS,POINT (-122.41876599462552 37.711933431935584),ST,20432000
21553000,LAWRENCE,POINT (-122.4519055486239 37.710230768737546),AVE,21553000
51368000,HARRISON,POINT (-122.4766108585018 37.797515125504624),BLVD,51368000
21738000,RUSSIA,POINT (-122.43558471337104 37.720827145543765),AVE,21738000
21388000,CORDOVA,POINT (-122.4346923149143 37.709566382049864),ST,21388000
24072000,LILAC,POINT (-122.41756763870781 37.74907536365878),ST,24072000
26357000,CENTRAL,POINT (-122.44440461287299 37.77414948507788),AVE,26357000
20667000,NEWHALL,POINT (-122.3922136607109 37.73566095943293),ST,20667000
34028000,CALIFORNIA,POINT (-122.3690609112077 37.81874901984148),AVE,34028000
21841000,30TH,POINT (-122.42423327736736 37.74223630173714),ST,21841000
24088000,24TH,POINT (-122.41844527058186 37.75223945498633),ST,24088000
20924000,SILVER,POINT (-122.41233817457088 37.73024920792582),AVE,20924000
51378000,WEDEMEYER,POINT (-122.47568612151979 37.789812058253226),ST,51378000
30764000,LEAVENWORTH,POINT (-122.41825588722165 37.803650215436164),ST,30764000
26142000,LAMSON,POINT (-122.44009579680878 37.75897936105611),LN,26142000
27406000,MORAGA,POINT (-122.48731586701402 37.755635344409605),ST,27406000
20919000,UNIVERSITY,POINT (-122.4140720481477 37.726516598557055),ST,20919000
25957000,FILLMORE,POINT (-122.43138442334099 37.77675967783455),ST,25957000
24335000,FOLSOM,POINT (-122.4154621276588 37.76693705613517),ST,24335000
23120000,EUCALYPTUS,POINT (-122.48090005583772 37.73115805798938),DR,23120000
25985000,WALTER,POINT (-122.43246434103308 37.769249650200095),ST,25985000
52019000,STEUBEN,POINT (-122.40642748470168 37.734226963940976),ST,52019000
21782000,ROTTECK,POINT (-122.43057848567071 37.73123494414118),ST,21782000
23935000,05TH,POINT (-122.402840617511 37.77982852372467),ST,23935000
26938000,CALIFORNIA,POINT (-122.45175795530929 37.786619561230324),ST,26938000
24030000,19TH,POINT (-122.41096197142359 37.76042745258874),ST,24030000
25708000,CHURCH,POINT (-122.42805018567344 37.75808875662453),ST,25708000
27951000,JUDAH,POINT (-122.50806756023785 37.760329816324976),ST,27951000
22709000,RAMSELL,POINT (-122.46627776621138 37.72166787461275),ST,22709000
33686000,UNNAMED 186,POINT (-122.40840240845175 37.74634516187639),,33686000
21767000,MISSION,POINT (-122.4323632636796 37.72771681440669),ST,21767000
21332000,29TH,POINT (-122.4208936594946 37.74403763231744),ST,21332000
21290000,CESAR CHAVEZ,POINT (-122.41491896324389 37.74823073104767),ST,21290000
26505000,LAGUNA,POINT (-122.42814818688743 37.785784488462916),ST,26505000
50217000,BURRITT,POINT (-122.40740356750278 37.78985139217768),ST,50217000
54085000,STERN GROVE,POINT (-122.47414946377478 37.7360343841289),CT,54085000
51837000,INDIA,POINT (-122.37130244978079 37.73513839119813),ST,51837000
20469000,GILMAN,POINT (-122.39373692835458 37.72140846072535),AVE,20469000
28047000,19TH,POINT (-122.47070422714486 37.715212904248304),AVE,28047000
21876000,CHURCH,POINT (-122.4268463750153 37.742078029301474),ST,21876000
54003000,I-80 W OFF,POINT (-122.39588137699577 37.78722890476595),RAMP,54003000
51073000,EL PLAZUELA,POINT (-122.47105351348654 37.727904564601346),WAY,51073000
33647000,SAN BRUNO,POINT (-122.40359288966079 37.727634126363085),AVE,33647000
23093000,RIVAS,POINT (-122.48154283463205 37.71753060068795),AVE,23093000
25462000,MASON,POINT (-122.41290808538193 37.802183771181305),ST,25462000
51553000,ARGUELLO,POINT (-122.46116864110189 37.795023519816084),BLVD,51553000
21486000,GENEVA,POINT (-122.44101956237701 37.7164595454273),AVE,21486000
26412000,HAIGHT,POINT (-122.44964515662927 37.76966186912737),ST,26412000
22637000,WESTWOOD,POINT (-122.45894847392161 37.72918625467137),DR,22637000
21548000,MISSION,POINT (-122.450095486042 37.709679913190726),ST,21548000
21287000,LUNDYS,POINT (-122.41764047259572 37.7458816544867),LN,21287000
51702000,ARTHUR,POINT (-122.38854614473719 37.74692684689832),AVE,51702000
20650000,BURROWS,POINT (-122.4040997030169 37.72883499859739),ST,20650000
27977000,48TH,POINT (-122.50895787212747 37.77330898940887),AVE,27977000
30028000,ALLEN,POINT (-122.41910554731129 37.79948227457389),ST,30028000
33718000,WINSTON,POINT (-122.47492813087297 37.72900485190415),DR,33718000
22352000,TERESITA,POINT (-122.4488931544288 37.73427693734568),BLVD,22352000
27082000,HUGO,POINT (-122.46102312371777 37.765209336370226),ST,27082000
33486000,VIDAL,POINT (-122.484640358946 37.719842087683645),DR,33486000
24361000,LAFAYETTE,POINT (-122.41691282523468 37.77281653318368),ST,24361000
23567000,19TH,POINT (-122.3886840163154 37.76176644448453),ST,23567000
24592000,03RD,POINT (-122.39794293902004 37.78299789736322),ST,24592000
28083000,ESMERALDA,POINT (-122.40810470308594 37.743104510102405),AVE,28083000
22069000,ONONDAGA,POINT (-122.44054127293924 37.722375127078934),AVE,22069000
25578000,HYDE,POINT (-122.42026978376457 37.80523676473584),ST,25578000
50320000,LILY,POINT (-122.4284108360942 37.77379952644163),ST,50320000
27377000,LINCOLN,POINT (-122.47832482115133 37.76539913580137),WAY,27377000
20458000,INGERSON,POINT (-122.39485204882237 37.72017522106324),AVE,20458000
33366000,MISSION,POINT (-122.44609112959674 37.711592021460575),ST,33366000
22827000,PORTOLA,POINT (-122.45818499994445 37.74063539917113),DR,22827000
20654000,FELTON,POINT (-122.40558918521513 37.72977665052188),ST,20654000
51217000,EDIE,POINT (-122.45081504139421 37.801198061857896),RD,51217000
21531000,BRUNSWICK,POINT (-122.44984660440235 37.70832812094287),ST,21531000
23976000,ALABAMA,POINT (-122.41096266165074 37.75268488820889),ST,23976000
54093000,GENE FRIEND,POINT (-122.39098039591494 37.76871902745087),WAY,54093000
34128000,GATEVIEW,POINT (-122.37758889923477 37.82704354416754),AVE,34128000
22160000,EDNA,POINT (-122.44656880177067 37.72989248743745),ST,22160000
26471000,FULTON,POINT (-122.45281023683138 37.774995318434684),ST,26471000
21687000,LISBON,POINT (-122.43125339922324 37.725106575816916),ST,21687000
51193000,MUIR,POINT (-122.44835976598796 37.795210460044416),LOOP,51193000
22407000,TERESITA,POINT (-122.44898223413949 37.74054137380779),BLVD,22407000
26069000,SCOTT,POINT (-122.4369785185254 37.77940392433368),ST,26069000
25425000,POWELL,POINT (-122.41101851675303 37.80116975187806),ST,25425000
33376000,PILGRIM,POINT (-122.44013503269619 37.72983687850673),AVE,33376000
24335000,15TH,POINT (-122.4154621276588 37.76693705613517),ST,24335000
27608000,LAKE,POINT (-122.46789845904932 37.78653345443514),ST,27608000
23947000,HOWARD,POINT (-122.40571873939696 37.78087837401192),ST,23947000
26507000,PINE,POINT (-122.42542297969894 37.788994699306905),ST,26507000
52009000,WELDON,POINT (-122.41006043532644 37.73513632443511),ST,52009000
24236000,12TH,POINT (-122.4137496105816 37.77034734427128),ST,24236000
23754000,DE HARO,POINT (-122.40172051519585 37.766132520597004),ST,23754000
23932000,MORRIS,POINT (-122.40352964172986 37.77769982724462),ST,23932000
23122000,26TH,POINT (-122.48178740529958 37.731169753903615),AVE,23122000
28200000,OGDEN,POINT (-122.41110799281105 37.73574994299219),AVE,28200000
23491000,46TH,POINT (-122.50435919770345 37.73805086654389),AVE,23491000
20490000,ARMSTRONG,POINT (-122.39223549566317 37.7262224206173),AVE,20490000
21065000,BRONTE,POINT (-122.41011472245303 37.739755136163595),ST,21065000
21257000,APPLETON,POINT (-122.42090986726889 37.73761062324782),AVE,21257000
24294000,06TH,POINT (-122.4092454428639 37.781398134354184),ST,24294000
27658000,LAKE,POINT (-122.48622379499795 37.78569712894649),ST,27658000
21280000,COSO,POINT (-122.41655911205656 37.745439135585976),AVE,21280000
20216000,MENDELL,POINT (-122.38696169181681 37.738358822881175),ST,20216000
33722000,SAN JOSE,POINT (-122.45559223693091 37.7114766660012),AVE,33722000
24341000,15TH,POINT (-122.41764545252381 37.766805242281194),ST,24341000
21059000,BRONTE,POINT (-122.41026366361427 37.73812282001782),ST,21059000
25758000,DIAMOND,POINT (-122.43613769731827 37.74956202746572),ST,25758000
20197000,KEITH,POINT (-122.38604554057598 37.733103478803216),ST,20197000
21004000,GLADSTONE,POINT (-122.42056328842227 37.729385171396515),DR,21004000
27524000,30TH,POINT (-122.48980436133184 37.77089456521882),AVE,27524000
20523000,MENDELL,POINT (-122.39543794347564 37.728996624004054),ST,20523000
25571000,HYDE,POINT (-122.41999336658208 37.80389039260033),ST,25571000
27202000,MCALLISTER,POINT (-122.45647270033696 37.775483265200606),ST,27202000
23112000,LAKE MERCED,POINT (-122.4850767869296 37.71857435928445),BLVD,23112000
25725000,CHULA,POINT (-122.4285751062159 37.76357633337147),LN,25725000
20954000,FELTON,POINT (-122.4144602519814 37.72745692786856),ST,20954000
33540000,LAKE MERCED,POINT (-122.48522893484324 37.71469451282411),BLVD,33540000
32899000,SUNSET,POINT (-122.4936721715608 37.73238243019676),BLVD,32899000
22270000,STILLINGS,POINT (-122.44201063437168 37.73440300534999),AVE,22270000
24506000,BEALE,POINT (-122.39427622811891 37.78992622979908),ST,24506000
27929000,NORIEGA,POINT (-122.50843239666283 37.752830226935835),ST,27929000
21499000,ROEMER,POINT (-122.446705073594 37.70940240108997),WAY,21499000
24842000,KEARNY,POINT (-122.40564526888096 37.79896930869667),ST,24842000
27258000,08TH,POINT (-122.46588316307006 37.77339820506165),AVE,27258000
23112000,HIGUERA,POINT (-122.4850767869296 37.71857435928445),AVE,23112000
27499000,20TH,POINT (-122.47924078880993 37.77840833159912),AVE,27499000
26383000,GOLDEN GATE,POINT (-122.4468464703324 37.77766910901015),AVE,26383000
25351000,STOCKTON,POINT (-122.40891234007807 37.79903585597617),ST,25351000
21994000,DIAMOND HEIGHTS,POINT (-122.43739820438309 37.73828796890821),BLVD,21994000
25898000,WEBSTER,POINT (-122.428802101837 37.772315846285444),ST,25898000
25875000,DOLORES,POINT (-122.42671322664447 37.76898207459406),ST,25875000
52265000,I-280 S ON,POINT (-122.39199926975303 37.75167349218047),RAMP,52265000
32903000,37TH,POINT (-122.49440311915856 37.73396024709087),AVE,32903000
26638000,PIERCE,POINT (-122.43731856828464 37.78942163157693),ST,26638000
25751000,21ST,POINT (-122.43177026595149 37.75626032365347),ST,25751000
27905000,40TH,POINT (-122.50065991577172 37.77743529260597),AVE,27905000
23481000,45TH,POINT (-122.50381313784015 37.74555087322375),AVE,23481000
51482000,BARNARD,POINT (-122.45708904448031 37.79690960331553),AVE,51482000
51703000,SELBY,POINT (-122.39284355496574 37.74747921041102),ST,51703000
26324000,PAGE,POINT (-122.44383614867172 37.77135811284981),ST,26324000
26435000,SHRADER,POINT (-122.45205522059368 37.770312752483534),ST,26435000
23686000,WISCONSIN,POINT (-122.3983407796544 37.751054606371774),ST,23686000
26570000,OCTAVIA,POINT (-122.42815905012174 37.79418740132098),ST,26570000
27781000,KIRKHAM,POINT (-122.49722190952349 37.75893441216455),ST,27781000
25193000,VAN NESS,POINT (-122.42101751448278 37.784302730246345),AVE,25193000
21342000,26TH,POINT (-122.41924664111505 37.74897378284833),ST,21342000
34121000,NORTHPOINT,POINT (-122.37459440874225 37.82999075563374),DR,34121000
54191000,GUERRERO,POINT (-122.42429926350984 37.76734223403116),ST,54191000
26834000,GEARY,POINT (-122.44582051172779 37.78248803254613),BLVD,26834000
21256000,HOLLY PARK,POINT (-122.42099140242446 37.736535520426926),CIR,21256000
22425000,LA BICA,POINT (-122.45304345528278 37.741316863608006),WAY,22425000
21135000,CESAR CHAVEZ,POINT (-122.40870631309822 37.74835284769901),ST,21135000
26911000,EUCLID,POINT (-122.44926959663664 37.78468842866414),AVE,26911000
20763000,SILVER,POINT (-122.40266489304372 37.73419241471133),AVE,20763000
21524000,HURON,POINT (-122.44621270165507 37.71470082222254),AVE,21524000
50718000,UTAH,POINT (-122.40515881630326 37.75128107446027),ST,50718000
23159000,19TH,POINT (-122.47540907475128 37.73932543263425),AVE,23159000
26144000,DOUGLASS,POINT (-122.43933681398019 37.760626723346185),ST,26144000
26392000,TURK,POINT (-122.44703980614341 37.77862230759278),BLVD,26392000
22522000,HEAD,POINT (-122.46440075583502 37.71429387416931),ST,22522000
50189000,FLORENCE,POINT (-122.4146622372436 37.79708994767164),ST,50189000
51623000,23RD,POINT (-122.39898130424571 37.75472793727116),ST,51623000
23911000,SHIPLEY,POINT (-122.40061307210381 37.78158766645281),ST,23911000
25627000,GUERRERO,POINT (-122.42333060586175 37.75676878101776),ST,25627000
26553000,VALLEJO,POINT (-122.42524987464724 37.796481303000526),ST,26553000
22885000,PACHECO,POINT (-122.46072772757176 37.74505481705593),ST,22885000
51225000,EDIE,POINT (-122.45295498936066 37.80199296121962),RD,51225000
50632000,MIDCREST,POINT (-122.44799376861953 37.75000372858454),WAY,50632000
26542000,SACRAMENTO,POINT (-122.42580214420946 37.79087442795648),ST,26542000
23227000,WAWONA,POINT (-122.48065488795805 37.73721905465698),ST,23227000
54344000,ARGUELLO,POINT (-122.45871181303693 37.79008572058225),BLVD,54344000
21892000,DAY,POINT (-122.42430936950915 37.74303475510402),ST,21892000
24366000,ADAIR,POINT (-122.41863361773258 37.76568623262096),ST,24366000
22122000,PAULDING,POINT (-122.44272055854594 37.728133295098935),ST,22122000
27494000,ANZA,POINT (-122.47602527829831 37.77855384077901),ST,27494000
24102000,SAN JOSE,POINT (-122.42139093422941 37.74996246447346),AVE,24102000
22716000,SARGENT,POINT (-122.46891899033156 37.71609825582799),ST,22716000
54008000,ZAMPA,POINT (-122.42979599912528 37.7846597450432),LN,54008000
22099000,SENECA,POINT (-122.44450117831154 37.72109566049303),AVE,22099000
23890000,I-280 SOUTHBOUND,POINT (-122.40098156761469 37.774808775889525),,23890000
52441000,24TH,POINT (-122.38110794247791 37.754466027805385),ST,52441000
25495000,FILBERT,POINT (-122.4148761877922 37.80068445370068),ST,25495000
26566000,BUCHANAN,POINT (-122.43126294661936 37.79288864160332),ST,26566000
26122000,DIXIE,POINT (-122.44301301279499 37.75401359503525),ALY,26122000
21394000,NAYLOR,POINT (-122.43418269378051 37.71136797895505),ST,21394000
22160000,FLOOD,POINT (-122.44656880177067 37.72989248743745),AVE,22160000
26410000,FREDERICK,POINT (-122.45014564051425 37.76672907434926),ST,26410000
26597000,POST,POINT (-122.43390501495998 37.78504768779229),ST,26597000
25179000,POLK,POINT (-122.4195478538064 37.78496025955046),ST,25179000
24434000,GROVE,POINT (-122.41658034358638 37.778657855830694),ST,24434000
27203000,GOLDEN GATE,POINT (-122.45666320221086 37.77641887661591),AVE,27203000
27557000,27TH,POINT (-122.48687804723208 37.77999353993568),AVE,27557000
23981000,26TH,POINT (-122.41268719396827 37.749369822942285),ST,23981000
51252000,FERNANDEZ,POINT (-122.45586336164962 37.79655465185927),ST,51252000
22700000,GARFIELD,POINT (-122.46625434195617 37.719678593891324),ST,22700000
27261000,14TH,POINT (-122.47179970420206 37.76568794460502),AVE,27261000
25088000,CALIFORNIA,POINT (-122.41246088169738 37.79162707522354),ST,25088000
25308000,BROADWAY,POINT (-122.42010952403483 37.79609456952711),,25308000
33752000,JERROLD,POINT (-122.40324798741133 37.747156197781734),AVE,33752000
28047000,MONTICELLO,POINT (-122.47070422714486 37.715212904248304),ST,28047000
20660000,03RD,POINT (-122.39041626393237 37.73559052075782),ST,20660000
24506000,HOWARD,POINT (-122.39427622811891 37.78992622979908),ST,24506000
27006000,BAY,POINT (-122.44489254827346 37.80162598222786),ST,27006000
27339000,NORIEGA,POINT (-122.47861569549089 37.75414576669265),ST,27339000
25567000,LARKIN,POINT (-122.4214803657549 37.802694924316015),ST,25567000
51237000,LINCOLN,POINT (-122.45718269418447 37.801887378921634),BLVD,51237000
20888000,BACON,POINT (-122.40755640512216 37.7265992460109),ST,20888000
26104000,MORGAN,POINT (-122.44238712535265 37.75481583685297),ALY,26104000
24735000,BUSH,POINT (-122.40439988637752 37.79071347855981),ST,24735000
51089000,RESTANI,POINT (-122.4437779860147 37.718094412650416),STWY,51089000
22023000,DIAMOND,POINT (-122.43576681595863 37.74554994902802),ST,22023000
54132000,MILLER,POINT (-122.47524911534252 37.80433848514231),RD,54132000
24612000,MISSION,POINT (-122.40126150210719 37.78685171551589),ST,24612000
26802000,DIVISADERO,POINT (-122.43929762507928 37.78245048095027),ST,26802000
50151000,WINDSOR,POINT (-122.40544428858198 37.80032384041342),PL,50151000
33184000,KEITH,POINT (-122.3975685046154 37.72028679333693),ST,33184000
22676000,KENWOOD,POINT (-122.46000248326094 37.72873943731825),WAY,22676000
50316000,HICKORY,POINT (-122.42475760520526 37.7752237518695),ST,50316000
33377000,SAN JOSE,POINT (-122.43898319450136 37.729588971384544),AVE,33377000
22590000,CAPITOL,POINT (-122.45920421451918 37.72183749166476),AVE,22590000
25930000,BUCHANAN,POINT (-122.42772404551935 37.775317310061865),ST,25930000
25904000,LAUSSAT,POINT (-122.43035456248359 37.7716398076041),ST,25904000
30062000,GRENARD,POINT (-122.42289378551621 37.80060120038331),TER,30062000
23488000,44TH,POINT (-122.50300372482022 37.749329834869805),AVE,23488000
21043000,NEVADA,POINT (-122.41182608955809 37.73463846531374),ST,21043000
26659000,BUCHANAN,POINT (-122.43220428857155 37.79750694932359),ST,26659000
50779000,PROGRESS,POINT (-122.38402382338884 37.733628620299115),ST,50779000
32851000,36TH,POINT (-122.4954119168611 37.77050461306061),AVE,32851000
54096000,GENE FRIEND,POINT (-122.39488060306581 37.768460169708206),WAY,54096000
22760000,WESTGATE,POINT (-122.46463256985017 37.72997259680597),DR,22760000
25984000,DUBOCE,POINT (-122.43357220797387 37.76917836916655),AVE,25984000
23632000,26TH,POINT (-122.39640760251862 37.75117875630835),ST,23632000
22857000,VASQUEZ,POINT (-122.45791698172293 37.74583500098269),AVE,22857000
51258000,ARGUELLO,POINT (-122.45965525864442 37.7975224558783),BLVD,51258000
21449000,HANOVER,POINT (-122.44059761467976 37.709945818448794),ST,21449000
24535000,02ND,POINT (-122.39723446005311 37.78596399136675),ST,24535000
21789000,LAMARTINE,POINT (-122.4333757189459 37.73133454293476),ST,21789000
21107000,BRADFORD,POINT (-122.40937790885192 37.74292254246664),ST,21107000
26193000,CORBETT,POINT (-122.44602058026918 37.75872232829969),AVE,26193000
51545000,FERNANDEZ,POINT (-122.45626629240074 37.79659788484626),ST,51545000
51221000,THORNBURG,POINT (-122.45139157254704 37.80181569883864),RD,51221000
26638000,SACRAMENTO,POINT (-122.43731856828464 37.78942163157693),ST,26638000
20847000,HAMILTON,POINT (-122.40699791249956 37.71999111472693),ST,20847000
26297000,STANYAN,POINT (-122.45209669026073 37.762166750921516),ST,26297000
34098000,12TH TI,POINT (-122.37579826215777 37.82561746305702),ST,34098000
22651000,MANGELS,POINT (-122.45688129156048 37.73243410720617),AVE,22651000
22192000,OCEAN,POINT (-122.45233156097618 37.72308024239366),AVE,22192000
26403000,FREDERICK,POINT (-122.44801316093437 37.76700668068964),ST,26403000
23743000,18TH,POINT (-122.40132418379888 37.76228996906118),ST,23743000
25652000,ELIZABETH,POINT (-122.42915692123839 37.752349319202814),ST,25652000
21102000,CARVER,POINT (-122.41006822414145 37.74174500764473),ST,21102000
25296000,SACRAMENTO,POINT (-122.41922173638926 37.79170401520657),ST,25296000
51563000,SEA VIEW,POINT (-122.49187927222066 37.784246269245536),TER,51563000
20333000,CAMPBELL,POINT (-122.4061893674766 37.71524434474391),AVE,20333000
20298000,SAN BRUNO,POINT (-122.40245947904477 37.71217948604367),AVE,20298000
24865000,NAPIER,POINT (-122.40379228711302 37.802063644227395),LN,24865000
50172000,SALMON,POINT (-122.4126845116497 37.796909250461056),ST,50172000
25267000,JONES,POINT (-122.41529051355322 37.79728678857027),ST,25267000
27300000,FUNSTON,POINT (-122.47163856567397 37.778752207981555),AVE,27300000
26771000,STEINER,POINT (-122.43788945579483 37.80060874556521),ST,26771000
32950000,LORI,POINT (-122.45415436229243 37.75502937652116),LN,32950000
22474000,LOBOS,POINT (-122.459046134987 37.714908345629304),ST,22474000
21402000,SEVILLE,POINT (-122.4342286133513 37.712467681409265),ST,21402000
21391000,PRAGUE,POINT (-122.43264606732707 37.71175816997216),ST,21391000
22790000,OCEAN,POINT (-122.46934191390582 37.72997687553145),AVE,22790000
33004000,PORTOLA,POINT (-122.46994154428467 37.736186795541215),DR,33004000
22536000,PAYSON,POINT (-122.47043908685644 37.71217904991179),ST,22536000
22296000,TERESITA,POINT (-122.44622663375428 37.73730659081103),BLVD,22296000
27243000,05TH,POINT (-122.46294078904103 37.777282734948336),AVE,27243000
24734000,SACRAMENTO,POINT (-122.40295736027612 37.793779857561674),ST,24734000
25211000,POLK,POINT (-122.42040124555898 37.78916509394614),ST,25211000
24541000,HOWARD,POINT (-122.397932391178 37.787035580140326),ST,24541000
50965000,DARTMOUTH,POINT (-122.40881640104176 37.71911207537959),ST,50965000
22049000,SENECA,POINT (-122.44010660688737 37.71766530934578),AVE,22049000
34150000,HEALY,POINT (-122.36268792440083 37.81189590646156),AVE,34150000
20515000,DONNER,POINT (-122.39453212115997 37.72469313718169),AVE,20515000
24717000,BUSH,POINT (-122.40272411537312 37.790925082290755),ST,24717000
26880000,FILBERT,POINT (-122.44394995456271 37.79696858939288),ST,26880000
50326000,REDWOOD,POINT (-122.4214138923607 37.780428685216755),ST,50326000
27620000,PARK PRESIDIO,POINT (-122.47258586824273 37.78444889061582),BLVD,27620000
26064000,PIERCE,POINT (-122.43533743464288 37.77963500131822),ST,26064000
22316000,DOUGLASS,POINT (-122.43824612579745 37.74866450086574),ST,22316000
27015000,DIVISADERO,POINT (-122.44398351783981 37.80558113856593),ST,27015000
26081000,HOMESTEAD,POINT (-122.43954726859167 37.75096277998391),ST,26081000
20281000,LATHROP,POINT (-122.39942233295707 37.71065985824553),AVE,20281000
26663000,VALLEJO,POINT (-122.43511328976635 37.79522583332875),ST,26663000
26921000,LAUREL,POINT (-122.45048024592096 37.788647125179544),ST,26921000
22335000,DUNCAN,POINT (-122.44340368329641 37.746557673017236),ST,22335000
26043000,PIERCE,POINT (-122.43448331991216 37.775416861102336),ST,26043000
26183000,IRON,POINT (-122.44466535895612 37.75785439139134),ALY,26183000
28260000,GELLERT,POINT (-122.49076132385578 37.72974543359782),DR,28260000
20974000,SWEENY,POINT (-122.41937345183523 37.73043003432646),ST,20974000
26030000,SCOTT,POINT (-122.43594032806517 37.77427667850119),ST,26030000
53007000,ZOO,POINT (-122.50274656138063 37.73037684501631),RD,53007000
23536000,26TH,POINT (-122.38763397454254 37.751559603572254),ST,23536000
33434000,ALEMANY,POINT (-122.4637849435267 37.71152713768094),BLVD,33434000
27659000,27TH,POINT (-122.48728636539468 37.785648841414265),AVE,27659000
23187000,CECILIA,POINT (-122.47205752440925 37.74695165510228),AVE,23187000
26645000,PIERCE,POINT (-122.43749516025002 37.790292349489846),ST,26645000
23695000,RHODE ISLAND,POINT (-122.40123195524747 37.75063188449179),ST,23695000
21071000,BANKS,POINT (-122.4126814910918 37.74025681892675),ST,21071000
22923000,PORTOLA,POINT (-122.4675102400067 37.737947662355275),DR,22923000
52112000,HWY 101 SOUTHBOUND,POINT (-122.4060805042176 37.768200175656176),,52112000
23275000,26TH,POINT (-122.48358178997574 37.748314513274615),AVE,23275000
24040000,HARRISON,POINT (-122.41277977379393 37.76159849375333),ST,24040000
27441000,CROSSOVER,POINT (-122.47736283019873 37.766062486661454),DR,27441000
22643000,MONTECITO,POINT (-122.45749139260853 37.72918555195905),AVE,22643000
34128000,AVENUE B,POINT (-122.37758889923477 37.82704354416754),,34128000
50305000,RENO,POINT (-122.4055678252063 37.799752818158936),PL,50305000
35010000,HICKORY,POINT (-122.42407457126565 37.77531069621593),ST,35010000
52262000,TARA,POINT (-122.44841064810905 37.721396869171954),ST,52262000
22251000,VALDEZ,POINT (-122.45496180187449 37.73011019669519),AVE,22251000
26137000,DOUGLASS,POINT (-122.43911441931792 37.75846287110303),ST,26137000
24603000,ANTHONY,POINT (-122.39935849113772 37.7883541703709),ST,24603000
22245000,GENNESSEE,POINT (-122.45114666661927 37.731536847082715),ST,22245000
