CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT
26613000,PIERCE,POINT (-122.43602866437455 37.78284676206979),ST,26613000
20900000,SOMERSET,POINT (-122.4085485112026 37.729002897575654),ST,20900000
20366000,DELTA,POINT (-122.41044102592122 37.71034975554144),ST,20366000
22381000,CRESTA VISTA,POINT (-122.45157827650144 37.736056956400276),DR,22381000
26367000,BAKER,POINT (-122.4421276483993 37.781528875453134),ST,26367000
21234000,MURRAY,POINT (-122.42013382026789 37.73613745989306),ST,21234000
25190000,VAN NESS,POINT (-122.42100836002977 37.783824118235344),AVE,25190000
33637000,PRESIDIO,POINT (-122.46031545286887 37.78825670385725),TER,33637000
26485000,ROSSI,POINT (-122.45605066244552 37.77749934476735),AVE,26485000
27430000,KIRKHAM,POINT (-122.48757950106325 37.759359420691524),ST,27430000
23433000,42ND,POINT (-122.49993927550138 37.73637053193773),AVE,23433000
23208000,21ST,POINT (-122.47809442535653 37.746685252900186),AVE,23208000
24213000,BRYANT,POINT (-122.41060980137173 37.76690344477832),ST,24213000
34102000,HUTCHINS,POINT (-122.37647902164764 37.827832723652655),CT,34102000
27475000,ANZA,POINT (-122.47217361834193 37.778728021359676),ST,27475000
26113000,BURNETT,POINT (-122.44577864834352 37.75050368498677),AVE,26113000
26655000,WEBSTER,POINT (-122.43327422535654 37.79447411162771),ST,26655000
23904000,PERRY,POINT (-122.39907963435923 37.78036288755931),ST,23904000
20855000,COLBY,POINT (-122.41000174552873 37.71933156881691),ST,20855000
20324000,CAMPBELL,POINT (-122.40256214774732 37.71464974355344),AVE,20324000
27765000,ORTEGA,POINT (-122.50206032058311 37.751239765382685),ST,27765000
25776000,EUREKA,POINT (-122.43776923061994 37.755540691220865),ST,25776000
21913000,28TH,POINT (-122.42903667185735 37.745165387163),ST,21913000
32868000,37TH,POINT (-122.49650383698142 37.76398195930737),AVE,32868000
22149000,CIRCULAR,POINT (-122.44592981034661 37.72671578050493),AVE,22149000
