LENGTH,the_geom,STREET,ST_TYPE,COMMENTS,BIKE_FAC,PBIKE_FAC,EditDate,Editor,Shape_len
451.61732980222,"MULTILINESTRING ((-71.08149318874317 42.37123267371999, -71.08167325830773 42.37125572041107, -71.08298688283377 42.37142381778005, -71.08314010933424 42.371443417076584))",Cambridge St,St,,1,0,,,451.617329805
343.55966204705,"MULTILINESTRING ((-71.07859487845052 42.37085940727527, -71.07873822943887 42.37087782375482, -71.07966862701403 42.37099724704337, -71.07984762262932 42.37102021035161))",Cambridge St,St,,1,0,,,343.559662046
456.14593754972,"MULTILINESTRING ((-71.07693419289447 42.370636336918786, -71.07717083863841 42.37067644739898, -71.07840519831811 42.370835030813446, -71.07859487845052 42.37085940727527))",Cambridge St,St,,1,0,,,456.145937552
277.01181440635,"MULTILINESTRING ((-71.09712922545013 42.373250157172606, -71.09716613019032 42.373254704377736, -71.0972355760177 42.37326328954044, -71.09797852530845 42.373359241889595, -71.09813930324033 42.37338000006748))",Cambridge St,St,,1,0,,,277.011814395
460.66068551813,"MULTILINESTRING ((-71.08739532620243 42.363972028096185, -71.08730611504735 42.36393211090551, -71.08636721524962 42.36353658117039, -71.08619744053877 42.3634531540296, -71.08612562017107 42.36342479619215, -71.08591779963552 42.36334265864544))",Broadway,,,1,0,,,460.660685515
3380.45675706057,"MULTILINESTRING ((-71.10530052933834 42.35502104748609, -71.10514956277338 42.3550951683805, -71.1046661182502 42.35533257222921, -71.10446876118705 42.3554294733026, -71.10430754610431 42.35550923810016, -71.10344642725116 42.355935172559725, -71.10332042969426 42.355997495258656, -71.10322642419636 42.35604382041898, -71.09781235695017 42.35871183015413, -71.09732669963758 42.35895103394863, -71.09510068867101 42.3600465051935, -71.09488262637925 42.36015382676357))",Vassar St,St,,4,0,,,3380.45675707
559.03305854509,"MULTILINESTRING ((-71.08739532620243 42.363972028096185, -71.08751394886991 42.3638198551076, -71.08796757528775 42.363237951733836, -71.08804518144784 42.363133652699716, -71.08809958801132 42.36304628384821, -71.0881139662636 42.36301455885068, -71.08812834193424 42.36296049700005, -71.08814921858418 42.36277745904507, -71.08817174507452 42.36257969125573))",Ames Street,St,,8,0,,,559.033058537
178.19474852389,"MULTILINESTRING ((-71.09291907169762 42.36612745747403, -71.09350151479406 42.36635667241748))",Broadway,,,6,0,,,178.19474852
227.42144699584,"MULTILINESTRING ((-71.09350151479406 42.36635667241748, -71.09370714248439 42.366437608434865, -71.09411700741646 42.36659727918565, -71.09424605040034 42.36664753954092))",Broadway,,,6,0,,,227.421446999
273.62359509332,"MULTILINESTRING ((-71.13048829750555 42.37544616271669, -71.13050984733928 42.37528597825737, -71.13053145351681 42.375154140212224, -71.13053412354277 42.374697096472275))",Sparks St,St,,1,0,,,273.623595092
146.07788830077,"MULTILINESTRING ((-71.1193895256556 42.373467722648705, -71.11943903346967 42.37345685527271, -71.11984811899057 42.37338274591499, -71.1199140275257 42.37337080746365))",Brattle St,St,,1,0,,,146.077888311
227.75155647874,"MULTILINESTRING ((-71.12072544915094 42.37320587770697, -71.12061048514937 42.37323359790493, -71.12031941135194 42.373284335874594, -71.12024415706192 42.37330576563712, -71.12020603463593 42.37331883876714, -71.12019550932887 42.373321356003714, -71.11997789636403 42.37335957569517, -71.1199140275257 42.37337080746365))",Brattle St,St,,1,0,,,227.751556466
247.31041778845,"MULTILINESTRING ((-71.13016030085217 42.37789301037058, -71.1300503606415 42.37786469482207, -71.12977342247409 42.37779339111782, -71.12942408337814 42.37771106935611, -71.12929510800792 42.37767226430358))",Brattle St,St,,1,0,,,247.310417787
94.60915883742,"MULTILINESTRING ((-71.13337949529783 42.37742771265099, -71.13348690543677 42.37741375830889, -71.13362894585781 42.37739533156552, -71.13372439263864 42.37738293046101))",Brattle St,St,,1,0,,,94.6091588476
186.07249741379,"MULTILINESTRING ((-71.13372439263864 42.37738293046101, -71.13381828673604 42.37737022248756, -71.13433035103357 42.37730099944526, -71.13440187316903 42.37729134811954))",Brattle St,St,,1,0,,,186.072497401
421.5091923975,"MULTILINESTRING ((-71.13440187316903 42.37729134811954, -71.13448848297712 42.377277436500755, -71.1357799565616 42.37707012958402, -71.13592654004658 42.377046610423804))",Brattle St,St,,1,0,,,421.509192399
329.15552596279,"MULTILINESTRING ((-71.13730803142764 42.37681652105058, -71.13746720024868 42.37678598735273, -71.13837589652927 42.376611772706525, -71.13848741767056 42.37659039019953))",Brattle St,St,,1,0,,,329.155525972
353.7791938708,"MULTILINESTRING ((-71.13848741767056 42.37659039019953, -71.13861005568025 42.37656654540639, -71.13963283792874 42.3763677356053, -71.1397539189864 42.37634418656443))",Brattle St,St,,1,0,,,353.779193872
277.36772411095,"MULTILINESTRING ((-71.1397539189864 42.37634418656443, -71.13990571272451 42.37631502587599, -71.14047772664473 42.37620502164766, -71.14074756064662 42.376153123641025))",Brattle St,St,,1,0,,,277.367724112
249.33733329046,"MULTILINESTRING ((-71.13247924567865 42.37752601393851, -71.13238116820968 42.37753247841726, -71.13225414804681 42.37753270358348, -71.13176609437569 42.377507406218335, -71.13166137577754 42.37751030897772, -71.13155977699611 42.37752403326285))",Brattle St,St,,1,0,,,249.337333291
245.93413424923,"MULTILINESTRING ((-71.13337949529783 42.37742771265099, -71.13327201570715 42.377440870891704, -71.13265030591316 42.37751338876993, -71.13247924567865 42.37752601393851))",Brattle St,St,,1,0,,,245.934134247
93.07055690562,"MULTILINESTRING ((-71.12092291062956 42.37163329664419, -71.12096693077393 42.37158070060957, -71.12101229259544 42.3715265174155, -71.12110450741827 42.37141628991417))",JFK St,St,,1,0,,,93.0705569088
182.53993161336,"MULTILINESTRING ((-71.09424605040034 42.36664753954092, -71.09434519291663 42.36668649845256, -71.09474276117815 42.366842666043596, -71.09484293793403 42.36688201233758))",Broadway,,,6,0,,,182.539931603
175.30063031954,"MULTILINESTRING ((-71.09484293793403 42.36688201233758, -71.09488634556811 42.366899041324906, -71.09524335228488 42.36703906631358, -71.09541635652307 42.36710690494296))",Broadway,,,6,0,,,175.300630325
299.51579463227,"MULTILINESTRING ((-71.09639535854191 42.3674921830861, -71.0962414357068 42.367431821940386, -71.09558293658773 42.36717252545844, -71.09541635652307 42.36710690494296))",Broadway,,,6,0,,,299.515794633
257.57501013757,"MULTILINESTRING ((-71.0982008009588 42.36820282689506, -71.09805149126645 42.36814388378814, -71.0978211230455 42.36805293553832, -71.09746348334478 42.36791173645337, -71.0973594657683 42.36787067768831))",Broadway,,,6,0,,,257.575010145
176.06666972039,"MULTILINESTRING ((-71.09206926550202 42.36579194634252, -71.0922372746552 42.36585867444831, -71.09250586115178 42.365965355771756, -71.09264356873754 42.36602006660867))",Broadway,,,6,0,,,176.066669725
84.11412135794,"MULTILINESTRING ((-71.09264356873754 42.36602006660867, -71.09275914067075 42.36606449092545, -71.09291907169762 42.36612745747403))",Broadway,,,6,0,,,84.1141213568
244.91467020914,"MULTILINESTRING ((-71.0982008009588 42.36820282689506, -71.0983045239445 42.368243828982024, -71.09860912318419 42.36836425975763, -71.09888072404821 42.36847162259838, -71.09900054170136 42.36851899155834))",Broadway,,,6,0,,,244.914670198
291.18284293123,"MULTILINESTRING ((-71.09900054170136 42.36851899155834, -71.09913110183072 42.3685704865084, -71.09952359602424 42.3687252202619, -71.09985621900115 42.36885636485453, -71.09995193466692 42.36889409957419))",Broadway,,,6,0,,,291.182842938
175.45136001871,"MULTILINESTRING ((-71.09995193466692 42.36889409957419, -71.10005196920062 42.368933550559056, -71.1003069287878 42.369034074264526, -71.1004476793146 42.36908955458879, -71.10052519736044 42.369120118451974))",Broadway,,,6,0,,,175.451360021
152.10584043897,"MULTILINESTRING ((-71.1010218647809 42.36931650716077, -71.10086594298333 42.369254855608986, -71.10079399913147 42.3692263968226, -71.1005805300137 42.36914201626264, -71.10052519736044 42.369120118451974))",Broadway,,,6,0,,,152.105840443
237.93572466147,"MULTILINESTRING ((-71.09966151994848 42.373576844232346, -71.09974331450802 42.373587419146894, -71.10052894213509 42.3736891288351))",Cambridge St,St,,1,0,,,237.935724662
84.73490426545,"MULTILINESTRING ((-71.10052894213509 42.3736891288351, -71.10083785435148 42.37372911214886))",Cambridge St,St,,1,0,,,84.7349042603
429.65131508062,"MULTILINESTRING ((-71.12209764530596 42.377512136711985, -71.12229732941849 42.377615091404444, -71.1233147625751 42.37813952609619, -71.12332574900304 42.378146696648486, -71.12333550838933 42.37815482360641, -71.12334117259937 42.37816076934094, -71.12334830135065 42.37816938161715, -71.12335372372951 42.37817864688288, -71.12335612780959 42.378185130756776, -71.12335903327087 42.378200644259316, -71.12335968710356 42.37820893348845))",Concord Ave,Ave,,3,0,,,429.651315075
142.30940206169,"MULTILINESTRING ((-71.11641842247282 42.3726937117138, -71.11630892250491 42.37266242081798, -71.11610260814604 42.37260119820368, -71.1160381057972 42.372576588106234, -71.11599826302442 42.3725559843196, -71.11594913044529 42.372523357901926))",Massachusetts Ave,Ave,,1,0,,,142.309402063
201.87958528508,"MULTILINESTRING ((-71.11641842247282 42.3726937117138, -71.11650154956875 42.37271670980515, -71.11704165462719 42.37286627751301, -71.11711831663186 42.372887497425964))",Massachusetts Ave,Ave,,1,0,,,201.879585284
420.32709893294,"MULTILINESTRING ((-71.11711831663186 42.372887497425964, -71.11718688617187 42.37290671462436, -71.11781698191547 42.373083250506745, -71.11789526843428 42.37310518875538, -71.11799801642515 42.37313335490854, -71.11824788509081 42.37320190812429, -71.1182779652302 42.37321534413974, -71.11830217303971 42.37322681237031, -71.11831668198384 42.3732326230655, -71.11851706801143 42.37329571543635, -71.11855376972342 42.37332190583574))",Massachusetts Ave,Ave,,1,0,,,420.327098945
73.72805300604,"MULTILINESTRING ((-71.12050250158252 42.38988514784593, -71.12068026366181 42.390038660569815))",Massachusetts Ave,Ave,,1,0,,,73.7280530056
131.6690050793,"MULTILINESTRING ((-71.1210097894776 42.39030487766458, -71.12068026366181 42.390038660569815))",Massachusetts Ave,Ave,,1,0,,,131.669005085
170.87766563985,"MULTILINESTRING ((-71.12152515289957 42.390576370107325, -71.12109886518594 42.390358597901916, -71.1210097894776 42.39030487766458))",Massachusetts Ave,Ave,,1,0,,,170.877665639
230.49086251868,"MULTILINESTRING ((-71.12152515289957 42.390576370107325, -71.12225302447514 42.390906375416144))",Massachusetts Ave,Ave,,1,0,,,230.490862509
176.9574912203,"MULTILINESTRING ((-71.12281286141508 42.39115849773893, -71.12225302447514 42.390906375416144))",Massachusetts Ave,Ave,,6,0,,,176.957491223
147.38756697775,"MULTILINESTRING ((-71.12327467530088 42.39137385529849, -71.12281286141508 42.39115849773893))",Massachusetts Ave,Ave,,6,0,,,147.387566979
200.00861609655,"MULTILINESTRING ((-71.11765935772503 42.37170122290363, -71.11756740744056 42.37159527039114, -71.11715190679443 42.37144677843762, -71.11705371866954 42.371411684180245))",Mount Auburn St,St,,1,0,,,200.008616099
246.29629790222,"MULTILINESTRING ((-71.12014601741542 42.37256555725766, -71.1200093347616 42.37251258426845, -71.11944602887563 42.372294269589254, -71.11940482602596 42.37227813532425, -71.11933848066171 42.37225214894429))",Mount Auburn St,St,,1,0,,,246.296297906
544.98459581839,"MULTILINESTRING ((-71.12642042833859 42.374430231154136, -71.12705043894209 42.37448375417497, -71.12831888540069 42.37456200433406, -71.12842842770262 42.374568751899425))",Mount Auburn St,St,,0,6,,,544.984595821
570.90135972121,"MULTILINESTRING ((-71.12842842770262 42.374568751899425, -71.12854951289421 42.37457614032867, -71.13053412354277 42.374697096472275))",Mount Auburn St,St,,0,6,,,570.901359713
173.82677294634,"MULTILINESTRING ((-71.13053412354277 42.374697096472275, -71.1311261206409 42.37473359902156, -71.13117521338576 42.37473661026501))",Mount Auburn St,St,,0,6,,,173.826772941
111.51519878105,"MULTILINESTRING ((-71.13117521338576 42.37473661026501, -71.13123429376975 42.37474042184458, -71.13152651488055 42.37475916725069, -71.13158637231173 42.37476300857896))",Mount Auburn St,St,,0,6,,,111.51519878
151.08071595532,"MULTILINESTRING ((-71.13158637231173 42.37476300857896, -71.13168196926371 42.374768693075495, -71.13206872305402 42.374791636315656, -71.13214371357381 42.37479607456846))",Mount Auburn St,St,,0,6,,,151.080715964
120.97274092843,"MULTILINESTRING ((-71.13214371357381 42.37479607456846, -71.13221655669031 42.374800670551046, -71.13250016031805 42.37481856270935, -71.13258979916688 42.374824227416575))",Mount Auburn St,St,,0,6,,,120.972740931
123.28093226668,"MULTILINESTRING ((-71.13304443286766 42.37485259788648, -71.13293407620434 42.37484571491826, -71.13267030059005 42.37482925918155, -71.13258979916688 42.374824227416575))",Mount Auburn St,St,,0,6,,,123.280932266
310.83365947115,"MULTILINESTRING ((-71.13304443286766 42.37485259788648, -71.13315826782056 42.37485957416293, -71.13408515147505 42.37491652948812, -71.13419084760827 42.374923012361286))",Mount Auburn St,St,,0,6,,,310.833659461
286.9380722871,"MULTILINESTRING ((-71.13419084760827 42.374923012361286, -71.1343707926986 42.37493423142731, -71.13510677765213 42.37498011670056, -71.13524902490668 42.37498896467154))",Mount Auburn St,St,,0,6,,,286.938072301
309.76493152984,"MULTILINESTRING ((-71.13524902490668 42.37498896467154, -71.13544310441998 42.37500074824787, -71.13628438845059 42.37505170687209, -71.13639160220646 42.3750582199606))",Mount Auburn St,St,,0,6,,,309.764931526
193.6036574002,"MULTILINESTRING ((-71.10812548601098 42.36408593495004, -71.10770777236777 42.364234173112635, -71.10751338048783 42.36429673352896, -71.10747541414614 42.3643089523248))",River St,St,,1,0,,,193.603657406
233.75415033631,"MULTILINESTRING ((-71.10747541414614 42.3643089523248, -71.10734401462827 42.36435128402051, -71.10713124685626 42.364423330455104, -71.10680575350457 42.36453354551358, -71.10668754022906 42.36457358906981))",River St,St,,1,0,,,233.754150338
710.78437144434,"MULTILINESTRING ((-71.14811926800478 42.38961506526155, -71.1483810230335 42.3896738199631, -71.14899351928284 42.38979887081801, -71.15057937680032 42.39010044003752, -71.15066274396784 42.39011315119465))",Concord Ave,Ave,,4,0,,,710.784371437
145.4933874795,"MULTILINESTRING ((-71.14583701340021 42.3752602343568, -71.14598819597178 42.375643414818974))",Aberdeen Ave,Ave,,1,0,,,145.493387479
478.73726616049,"MULTILINESTRING ((-71.14598819597178 42.375643414818974, -71.14654072254322 42.37689157884423))",Aberdeen Ave,Ave,,1,0,,,478.737266149
635.14997659992,"MULTILINESTRING ((-71.15400715998919 42.39054655457209, -71.15386840264088 42.390528986897344, -71.15265310523635 42.390375005233786, -71.1516900715125 42.39025094394387))",Concord Ave,Ave,,4,0,,,635.149976589
282.04701864924,"MULTILINESTRING ((-71.1516900715125 42.39025094394387, -71.15100247791591 42.39016236778621, -71.15066274396784 42.39011315119465))",Concord Ave,Ave,,4,0,,,282.04701866
598.3238303162,"MULTILINESTRING ((-71.14599297705172 42.38915634963609, -71.14620411581257 42.38921031610871, -71.14802871936634 42.389595936632965, -71.14811926800478 42.38961506526155))",Concord Ave,Ave,,4,0,,,598.32383032
283.56876496746,"MULTILINESTRING ((-71.13592654004658 42.377046610423804, -71.13611502248361 42.3770159792765, -71.13684472360538 42.37689735401945, -71.1369515978931 42.376879745144066))",Brattle St,St,,1,0,,,283.568764975
99.02731105462,"MULTILINESTRING ((-71.1369515978931 42.376879745144066, -71.13714920938911 42.37684464084248, -71.13718596001472 42.3768381984307, -71.13729435981979 42.376819139692415, -71.13730803142764 42.37681652105058))",Brattle St,St,,1,0,,,99.0273110459
141.35215916091,"MULTILINESTRING ((-71.09685768176561 42.36767359651005, -71.09639535854191 42.3674921830861))",Broadway,,,6,0,,,141.352159163
153.44804067057,"MULTILINESTRING ((-71.0973594657683 42.36787067768831, -71.09727013929238 42.36783540539314, -71.09685768176561 42.36767359651005))",Broadway,,,6,0,,,153.448040669
452.40993525829,"MULTILINESTRING ((-71.08314010933424 42.371443417076584, -71.08329056248199 42.37146270427307, -71.0846465669063 42.37163664385255, -71.08478981058038 42.371655024946214))",Cambridge St,St,,1,0,,,452.409935262
160.48928600366,"MULTILINESTRING ((-71.08553482855493 42.371751504353426, -71.08567817999042 42.37177046098333, -71.08612046404308 42.37182473948677))",Cambridge St,St,,1,0,,,160.489286008
204.3685214176,"MULTILINESTRING ((-71.08478981058038 42.371655024946214, -71.08495956455164 42.371677013937294, -71.08540974053223 42.37173530256796, -71.08553482855493 42.371751504353426))",Cambridge St,St,,1,0,,,204.368521407
206.0875571267,"MULTILINESTRING ((-71.08612046404308 42.37182473948677, -71.0861426504274 42.37182745362689, -71.08625420663374 42.37184176740997, -71.08656473050098 42.37188157540432, -71.0867421042888 42.371904302606154, -71.08687200091136 42.37192095926229))",Cambridge St,St,,1,0,,,206.087557127
55.36329860352,"MULTILINESTRING ((-71.08687200091136 42.37192095926229, -71.08694817074297 42.37193083707321, -71.08697423854008 42.3719342235688, -71.08707381392152 42.371947148938155))",Cambridge St,St,,1,0,,,55.3632986051
253.29002634352,"MULTILINESTRING ((-71.08735250679723 42.37198220304043, -71.08742324170858 42.37199132013823, -71.08783053187574 42.372043792648356, -71.08816838189591 42.372087288957, -71.08827601921956 42.37210114769228))",Cambridge St,St,,1,0,,,253.290026353
49.3990296495,"MULTILINESTRING ((-71.08827601921956 42.37210114769228, -71.08834442693521 42.37210965219558, -71.088382069788 42.37211431462918, -71.08845632005034 42.37212352599176))",Cambridge St,St,,1,0,,,49.3990296439
223.01779841163,"MULTILINESTRING ((-71.09623923322994 42.373133212496306, -71.09642507753769 42.37315768323518, -71.0967297645566 42.37319785486556, -71.09697928297756 42.37323072525864, -71.0970518312128 42.373240281828416))",Cambridge St,St,,1,0,,,223.017798406
628.74330953693,"MULTILINESTRING ((-71.12417654820375 42.37896858372849, -71.124028516583 42.379034972992486, -71.12335751828891 42.3793125908194, -71.12218601226682 42.379676427190596, -71.1221361990513 42.37968811796524, -71.1220742232304 42.37969743630637))",Chauncy St,St,,1,0,,,628.74330954
148.69293499129,"MULTILINESTRING ((-71.1220742232304 42.37969743630637, -71.12170025666742 42.379753613116115, -71.12153485177731 42.3797784517318))",Chauncy St,St,,1,0,,,148.692934997
117.8529263717,"MULTILINESTRING ((-71.10053104233036 42.36350728815569, -71.10065767839589 42.363581077216104, -71.10087390012703 42.36370712251089))",Massachusetts Ave,Ave,,1,0,,,117.852926371
110.02808882135,"MULTILINESTRING ((-71.10087390012703 42.36370712251089, -71.10109001240794 42.363833057249806, -71.10119040369315 42.36389693087494))",Massachusetts Ave,Ave,,1,0,,,110.028088825
190.57329573163,"MULTILINESTRING ((-71.12084159891751 42.373177886895434, -71.12091084704667 42.37315822059667, -71.12104566285039 42.37310312477316, -71.12120161114426 42.373016898276845, -71.12130994868939 42.37294615605665, -71.12140048883197 42.37286865962246))",Eliot St,St,,1,0,,,190.573295739
167.43316571559,"MULTILINESTRING ((-71.11053816121618 42.37154207734034, -71.11075090997969 42.371223826163565, -71.1108133595159 42.37113043706365))",Ellery St,St,,1,0,,,167.433165711
142.3883958019,"MULTILINESTRING ((-71.11030412036853 42.37189214212753, -71.11034681277296 42.37182826748402, -71.11053816121618 42.37154207734034))",Ellery St,St,,1,0,,,142.388395797
296.00895968131,"MULTILINESTRING ((-71.15027134074519 42.37926103842402, -71.15068425266664 42.37882266629696, -71.15083686253341 42.37871287304899, -71.15098124382364 42.378658841475186))",Fountain Ter,Ter,,1,0,,,296.008959677
491.29651923987,"MULTILINESTRING ((-71.15392447312014 42.38075154774118, -71.15376860105235 42.38070012149689, -71.15346340785766 42.38062445433115, -71.15338965329154 42.38060233452216, -71.15329011664741 42.38056394699585, -71.15315370747994 42.3805001753989, -71.15312102073054 42.38048089584475, -71.15307374274076 42.380449690486444, -71.15302316540755 42.38041271262403, -71.15275733239305 42.380206352757874, -71.1527091147436 42.3801778335929, -71.15243541577533 42.38001579329374))",Huron Ave,Ave,,1,0,,,491.296519245
168.09409431453,"MULTILINESTRING ((-71.09437202174851 42.36842318407982, -71.09443772967332 42.36847711741188, -71.09478942939822 42.36876516809275))",Hampshire St,St,,1,0,,,168.094094311
840.05266745456,"MULTILINESTRING ((-71.15400715998919 42.39054655457209, -71.15421135495623 42.39057268812217, -71.15569710004019 42.39076288863206, -71.15638395731243 42.39082585987845, -71.1570771749258 42.390910798426674))",Concord Ave,Ave,,4,0,,,840.052667467
135.19714864896,"MULTILINESTRING ((-71.09975944821072 42.372845010738786, -71.09983249388992 42.37290461922974, -71.1000959234707 42.373119573237524))",Hampshire St,St,,1,0,,,135.197148652
190.57428199166,"MULTILINESTRING ((-71.1000959234707 42.373119573237524, -71.10043560444396 42.373396807612956, -71.10056928239439 42.37350722696192))",Hampshire St,St,,1,0,,,190.574281985
315.94239690615,"MULTILINESTRING ((-71.09897511770782 42.372202058664364, -71.09906925572076 42.37227922095093, -71.09967778949277 42.37277804554357, -71.09975944821072 42.372845010738786))",Hampshire St,St,,1,0,,,315.94239691
42.77446337023,"MULTILINESTRING ((-71.15080620276761 42.378051981654146, -71.15082849173025 42.37811744038473, -71.15083304448129 42.37813076291989, -71.15084495354172 42.378165785897636))",Holworthy St,St,,1,0,,,42.7744633776
211.02585637969,"MULTILINESTRING ((-71.137337211222 42.381305576651705, -71.13747281235365 42.38129478079791, -71.13801806788527 42.38125133034951, -71.13811378839507 42.38124370113309))",Huron Ave,Ave,,1,0,,,211.025856379
