,Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,Street_ID
3991,30884,06/08/2012 03:29:00 PM,Friday,Truck,Bicycle,,Second St,Charles St," Second St & Charles St Cambridge, MA",42.367444,-71.079382,"(42.367444, -71.079382)",1232
3994,30888,06/09/2012 02:12:00 PM,Saturday,Auto,Bicycle,,Franklin St,Bay St," Franklin St & Bay St Cambridge, MA",42.367757,-71.111097,"(42.367757, -71.111097)",917
3999,30892,06/10/2012 06:53:00 PM,Sunday,Auto,Bicycle,1621,Cambridge St,,"1621 Cambridge St Cambridge, MA",42.374873,-71.109046,"(42.374873, -71.109046)",2086
4002,30896,06/11/2012 06:24:00 PM,Monday,Auto,Bicycle,23,Bishop Allen Dr,,"23 Bishop Allen Dr Cambridge, MA",42.363951,-71.098964,"(42.363951, -71.098964)",2042
4016,30910,06/14/2012 08:23:00 PM,Thursday,Auto,Bicycle,260,HARVARD ST,,"260 HARVARD ST Cambridge, MA",42.368342,-71.102218,"(42.368342, -71.102218)",1857
4017,30911,06/14/2012 09:30:00 PM,Thursday,Taxi,Bicycle,,Broadway,Third St," Broadway & Third St Cambridge, MA",42.362667,-71.084325,"(42.362667, -71.084325)",853
4027,30922,06/18/2012 06:49:00 PM,Monday,Taxi,Bicycle,,Broadway,Ames St," Broadway & Ames St Cambridge, MA",42.363981,-71.087416,"(42.363981, -71.087416)",1310
4032,30927,06/20/2012 05:41:00 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,HANCOCK ST," Massachusetts Ave & HANCOCK ST Cambridge, MA",42.36838,-71.108783,"(42.36838, -71.108783)",1047
4039,30935,06/22/2012 03:40:00 PM,Friday,Auto,Bicycle,,Massachusetts Ave,EVERETT ST," Massachusetts Ave & EVERETT ST Cambridge, MA",42.380006,-71.119917,"(42.380006, -71.119917)",1750
4053,30947,06/26/2012 11:20:00 AM,Tuesday,Auto,Bicycle,,Massachusetts Ave,LINNAEAN ST," Massachusetts Ave & LINNAEAN ST Cambridge, MA",42.384872,-71.119394,"(42.384872, -71.119394)",625
4065,30957,06/28/2012 03:04:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,PLEASANT ST," Massachusetts Ave & PLEASANT ST Cambridge, MA",42.366408,-71.105392,"(42.366408, -71.105392)",1884
4071,30961,06/29/2012 08:49:00 PM,Friday,Auto,Bicycle,14,Chauncy St,,"14 Chauncy St Cambridge, MA",42.37961,-71.122055,"(42.37961, -71.122055)",1674
4075,30967,06/29/2012 05:45:00 PM,,Auto,Bicycle,26,GARDEN ST,,"26 GARDEN ST Cambridge, MA",42.378143,-71.123817,"(42.378143, -71.123817)",557
4089,30979,07/03/2012 08:00:00 AM,,Auto,Bicycle,,Cambridge St,SUMNER RD," Cambridge St & SUMNER RD Cambridge, MA",42.375266,-71.112729,"(42.375266, -71.112729)",2124
4090,30980,07/03/2012 03:00:00 PM,,Auto,Bicycle,5,Dewolfe St,,"5 Dewolfe St Cambridge, MA",42.371035,-71.116169,"(42.371035, -71.116169)",507
4092,30982,07/03/2012 06:04:00 PM,,Auto,Bicycle,,Columbia St,Broadway," Columbia St & Broadway Cambridge, MA",42.367871,-71.09736,"(42.367871, -71.09736)",1700
4113,30999,07/10/2012 07:50:00 AM,,Auto,Bicycle,,MAIN ST,Portland St," MAIN ST & Portland St Cambridge, MA",42.362974,-71.093634,"(42.362974, -71.093634)",2444
4116,31002,07/11/2012 07:06:00 AM,,Bicycle,Miscellaneous,,Massachusetts Ave,RICHARD AVE," Massachusetts Ave & RICHARD AVE Cambridge, MA",42.39995,-71.133778,"(42.39995, -71.133778)",1652
4117,31005,07/11/2012 02:00:00 PM,,Auto,Bicycle,,Cambridge St,QUINCY ST," Cambridge St & QUINCY ST Cambridge, MA",42.375474,-71.114321,"(42.375474, -71.114321)",362
