,Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,Street_ID
4679,31568,11/15/2012 10:35:00 AM,Thursday,Auto,Bicycle,1035,Cambridge St,,"1035 Cambridge St Cambridge, MA",42.373494,-71.093704,"(42.373494, -71.093704)",795
4687,31580,11/17/2012 11:49:00 AM,Saturday,Auto,Bicycle,1698,Massachusetts Ave,,"1698 Massachusetts Ave Cambridge, MA",42.383026,-71.119832,"(42.383026, -71.119832)",1426
4699,31587,11/20/2012 08:45:00 AM,Tuesday,Auto,Bicycle,,Massachusetts Ave,GARFIELD ST," Massachusetts Ave & GARFIELD ST Cambridge, MA",42.383788,-71.119514,"(42.383788, -71.119514)",250
4702,31591,11/20/2012 02:10:00 PM,Tuesday,Auto,Bicycle,363,Windsor St,,"363 Windsor St Cambridge, MA",42.370053,-71.094422,"(42.370053, -71.094422)",1084
4707,31598,11/22/2012 08:06:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,Shepard St," Massachusetts Ave & Shepard St Cambridge, MA",42.381853,-71.119723,"(42.381853, -71.119723)",1705
4715,31607,11/26/2012 04:56:00 PM,Monday,Auto,Bicycle,,Concord Ave,FAYERWEATHER ST," Concord Ave & FAYERWEATHER ST Cambridge, MA",42.384591,-71.135792,"(42.384591, -71.135792)",539
4721,31613,11/27/2012 06:11:00 PM,Tuesday,Auto,Bicycle,,Putnam Ave,Sidney St," Putnam Ave & Sidney St Cambridge, MA",42.356627,-71.10673,"(42.356627, -71.10673)",256
4725,31616,11/28/2012 06:34:00 PM,Wednesday,Auto,Bicycle,305,Webster Ave,,"305 Webster Ave Cambridge, MA",42.373528,-71.0944,"(42.373528, -71.0944)",25
4734,31626,11/30/2012 03:14:00 PM,Friday,Auto,Bicycle,,MAIN ST,Vassar St," MAIN ST & Vassar St Cambridge, MA",42.362709,-71.089933,"(42.362709, -71.089933)",1129
4746,31635,12/03/2012 06:55:00 PM,Monday,Auto,Bicycle,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812,-71.089386,"(42.364812, -71.089386)",177
4755,31647,12/06/2012 08:15:00 AM,,Bicycle,Pedestrian,,Vassar St,Massachusetts Ave," Vassar St & Massachusetts Ave Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
4761,31654,12/07/2012 06:20:00 PM,,Auto,Bicycle,,PLYMPTON ST,MILL ST," PLYMPTON ST & MILL ST Cambridge, MA",42.37025,-71.117751,"(42.37025, -71.117751)",168
4779,31668,12/10/2012 09:30:00 AM,Monday,Auto,Bicycle,,MAIN ST,Ames St," MAIN ST & Ames St Cambridge, MA",42.362579,-71.088165,"(42.362579, -71.088165)",2316
4781,31670,12/10/2012 03:36:00 PM,Monday,Auto,Bicycle,6,Concord Ave,,"6 Concord Ave Cambridge, MA",42.39091,-71.157563,"(42.39091, -71.157563)",1859
4789,31679,12/12/2012 05:32:00 PM,Wednesday,Auto,Bicycle,229,Vassar St,,"229 Vassar St Cambridge, MA",42.357355,-71.100904,"(42.357355, -71.100904)",1938
4809,31706,12/18/2012 07:50:00 AM,,Auto,Bicycle,,Cambridge St,LINE ST," Cambridge St & LINE ST Cambridge, MA",42.374028,-71.103097,"(42.374028, -71.103097)",1002
4823,31714,12/21/2012 10:34:00 PM,,Auto,Bicycle,,Brattle St,Willard St," Brattle St & Willard St Cambridge, MA",42.37681,-71.127649,"(42.37681, -71.127649)",1992
4855,28571,01/02/2013 09:20:00 PM,Wednesday,Auto,Bicycle,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,"(42.372912, -71.094512)",1871
4889,28615,01/15/2013 11:35:00 AM,Tuesday,Auto,Bicycle,1334,Cambridge St,,"1334 Cambridge St Cambridge, MA",42.373493,-71.099759,"(42.373493, -71.099759)",280
4937,28661,01/28/2013 11:29:00 AM,Monday,Auto,Bicycle,,Broadway,ELLERY PL," Broadway & ELLERY PL Cambridge, MA",42.372752,-71.109728,"(42.372752, -71.109728)",851
4947,28672,01/30/2013 10:19:00 PM,Wednesday,Bicycle,Taxi,,Cambridge St,ELM ST," Cambridge St & ELM ST Cambridge, MA",42.373017,-71.095346,"(42.373017, -71.095346)",1261
4956,28685,02/01/2013 06:29:00 PM,Friday,Taxi,Bicycle,215,Hampshire St,,"215 Hampshire St Cambridge, MA",42.37336,-71.100217,"(42.37336, -71.100217)",1189
4969,28691,02/03/2013 12:49:00 AM,Sunday,Taxi,Bicycle,1431,Cambridge St,,"1431 Cambridge St Cambridge, MA",42.374017,-71.102314,"(42.374017, -71.102314)",1002
4980,28709,02/06/2013 05:48:00 PM,Wednesday,Auto,Bicycle,,Hampshire St,Bristol St," Hampshire St & Bristol St Cambridge, MA",42.367952,-71.093803,"(42.367952, -71.093803)",952
5043,28772,02/19/2013 07:59:00 PM,Tuesday,Auto,Bicycle,,Columbia St,Broadway," Columbia St & Broadway Cambridge, MA",42.367871,-71.09736,"(42.367871, -71.09736)",1700
5059,28786,02/22/2013 08:45:00 AM,Friday,Auto,Bicycle,,Brattle St,Sparks St," Brattle St & Sparks St Cambridge, MA",42.377845,-71.130167,"(42.377845, -71.130167)",2386
5073,28803,02/25/2013 12:59:00 PM,Monday,Auto,Bicycle,,KIRKLAND ST,SUMNER RD," KIRKLAND ST & SUMNER RD Cambridge, MA",42.377006,-71.112334,"(42.377006, -71.112334)",1926
5111,28841,03/06/2013 11:39:00 AM,Wednesday,Auto,Bicycle,112-,Bishop Allen Dr,,"112- Bishop Allen Dr Cambridge, MA",42.365824,-71.102402,"(42.365824, -71.102402)",701
5138,28873,03/12/2013 02:15:00 PM,Tuesday,Auto,Bicycle,,Concord Ave,Blanchard Rd," Concord Ave & Blanchard Rd Cambridge, MA",42.390977,-71.157285,"(42.390977, -71.157285)",1839
5143,28874,03/14/2013 08:15:00 AM,Thursday,Auto,Bicycle,,Massachusetts Ave,Tyler Ct," Massachusetts Ave & Tyler Ct Cambridge, MA",42.398476,-71.131522,"(42.398476, -71.131522)",666
5146,28878,03/14/2013 07:30:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,Waterhouse St," Massachusetts Ave & Waterhouse St Cambridge, MA",42.37787,-71.120647,"(42.37787, -71.120647)",1467
5158,28883,03/17/2013 06:56:00 PM,Sunday,Auto,Bicycle,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)",2051
5171,28902,03/21/2013 07:40:00 AM,Thursday,Auto,Bicycle,,Rindge Ave,Clifton St," Rindge Ave & Clifton St Cambridge, MA",42.393702,-71.136228,"(42.393702, -71.136228)",1858
5172,28903,03/21/2013 09:00:00 AM,Thursday,Auto,Bicycle,1000,Cambridge St,,"1000 Cambridge St Cambridge, MA",42.372653,-71.093451,"(42.372653, -71.093451)",1485
5194,28927,03/29/2013 09:04:00 AM,Friday,Auto,Bicycle,,Cambridge St,Third St," Cambridge St & Third St Cambridge, MA",42.37102,-71.079848,"(42.37102, -71.079848)",2114
5205,28937,04/02/2013 09:45:00 PM,Tuesday,Auto,Bicycle,,Cambridge St,ROBERTS RD," Cambridge St & ROBERTS RD Cambridge, MA",42.37476,-71.108824,"(42.37476, -71.108824)",27
5233,28968,04/07/2013 07:41:00 PM,Sunday,Auto,Bicycle,,Massachusetts Ave,LINNAEAN ST," Massachusetts Ave & LINNAEAN ST Cambridge, MA",42.384872,-71.119394,"(42.384872, -71.119394)",625
5259,28989,04/14/2013 06:20:00 PM,Sunday,Auto,Bicycle,229,HARVARD ST,,"229 HARVARD ST Cambridge, MA",42.367787,-71.099953,"(42.367787, -71.099953)",1900
5276,29009,04/18/2013 07:25:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,STATE ST," Massachusetts Ave & STATE ST Cambridge, MA",42.362647,-71.099069,"(42.362647, -71.099069)",1438
5279,29012,04/20/2013 03:00:00 PM,Saturday,Auto,Bicycle,1736,Massachusetts Ave,,"1736 Massachusetts Ave Cambridge, MA",42.384483,-71.119625,"(42.384483, -71.119625)",726
5283,29016,04/21/2013 05:35:00 PM,Sunday,Auto,Bicycle,1821,Massachusetts Ave,,"1821 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,"(42.369202, -71.110689)",1137
5286,29017,04/22/2013 10:25:00 AM,Monday,Auto,Bicycle,,Inman St,Inman Pl," Inman St & Inman Pl Cambridge, MA",42.369692,-71.103194,"(42.369692, -71.103194)",1425
5292,29026,04/24/2013 05:39:00 PM,Wednesday,Auto,Bicycle,,Ash St,Brattle St," Ash St & Brattle St Cambridge, MA",42.375936,-71.124467,"(42.375936, -71.124467)",1000
5296,29286,04/24/2013 05:39:00 PM,Wednesday,Auto,Bicycle,,Ash St,Brattle St," Ash St & Brattle St Cambridge, MA",42.375936,-71.124467,"(42.375936, -71.124467)",1000
5297,29028,04/25/2013 09:00:00 AM,Thursday,Auto,Bicycle,,Hampshire St,Tremont St," Hampshire St & Tremont St Cambridge, MA",42.371501,-71.098121,"(42.371501, -71.098121)",2008
5308,29042,04/26/2013 05:58:00 PM,Friday,Auto,Bicycle,350,MAIN ST,,"350 MAIN ST Cambridge, MA",42.362388,-71.087276,"(42.362388, -71.087276)",2316
5335,29070,05/02/2013 07:16:00 PM,Thursday,Bus (Other),Bicycle,,MAIN ST,Vassar St," MAIN ST & Vassar St Cambridge, MA",42.362709,-71.089933,"(42.362709, -71.089933)",1129
5348,29081,05/04/2013 04:15:00 PM,Saturday,Auto,Bicycle,,SPRINGFIELD ST,Cambridge St," SPRINGFIELD ST & Cambridge St Cambridge, MA",42.373689,-71.100529,"(42.373689, -71.100529)",1635
5358,29087,05/07/2013 08:00:00 PM,Tuesday,Auto,Bicycle,2443,Massachusetts Ave,,"2443 Massachusetts Ave Cambridge, MA",42.398142,-71.130844,"(42.398142, -71.130844)",656
5359,29090,05/07/2013 12:46:00 PM,Tuesday,Taxi,Bicycle,6,Cambridge Ctr,Broadway,"6 Cambridge Ctr Cambridge, MA",42.364014,-71.088093,"(42.364014, -71.088093)",1551
5374,29107,05/10/2013 07:27:00 PM,Friday,Bicycle,Taxi,204,PROSPECT ST,,"204 PROSPECT ST Cambridge, MA",42.370337,-71.100118,"(42.370337, -71.100118)",174
5381,29110,05/12/2013 08:38:00 PM,Sunday,Auto,Bicycle,,Hampshire St,Portland St," Hampshire St & Portland St Cambridge, MA",42.366295,-71.091782,"(42.366295, -71.091782)",2431
5386,29116,05/13/2013 06:56:00 PM,Monday,Auto,Bicycle,1001,Cambridge St,,"1001 Cambridge St Cambridge, MA",42.373039,-71.093565,"(42.373039, -71.093565)",1871
5387,29117,05/13/2013 06:59:00 PM,Monday,Auto,Bicycle,,Hampshire St,Tremont St," Hampshire St & Tremont St Cambridge, MA",42.371501,-71.098121,"(42.371501, -71.098121)",2008
5392,29120,05/14/2013 03:45:00 PM,Tuesday,Auto,Bicycle,675,Concord Ave,,"675 Concord Ave Cambridge, MA",42.39033,-71.15013,"(42.39033, -71.15013)",2490
5393,29121,05/14/2013 05:00:00 PM,Tuesday,Auto,Bicycle,826,Cambridge St,,"826 Cambridge St Cambridge, MA",42.372195,-71.090329,"(42.372195, -71.090329)",189
5397,29126,05/14/2013 05:46:00 PM,Tuesday,Bicycle,Pedestrian,1401,Massachusetts Ave,,"1401 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,"(42.369202, -71.110689)",1137
5409,29143,05/17/2013 09:56:00 AM,Friday,Auto,Bicycle,1629,Cambridge St,,"1629 Cambridge St Cambridge, MA",42.374913,-71.109348,"(42.374913, -71.109348)",2086
5412,29146,05/17/2013 07:53:00 PM,Friday,Auto,Bicycle,,Hampshire St,ELM ST," Hampshire St & ELM ST Cambridge, MA",42.37048,-71.096879,"(42.37048, -71.096879)",4
5424,29156,05/21/2013 08:35:00 AM,Tuesday,Auto,Bicycle,,Third St,Rogers St," Third St & Rogers St Cambridge, MA",42.366388,-71.082001,"(42.366388, -71.082001)",2
5426,29159,05/21/2013 08:01:00 AM,Tuesday,Auto,Bicycle,1945,Massachusetts Ave,,"1945 Massachusetts Ave Cambridge, MA",42.38975,-71.120095,"(42.38975, -71.120095)",815
5438,29170,05/23/2013 10:50:00 AM,Thursday,Auto,Bicycle,,PROSPECT ST,HARVARD ST," PROSPECT ST & HARVARD ST Cambridge, MA",42.368301,-71.101743,"(42.368301, -71.101743)",1096
5439,29171,05/23/2013 08:55:00 AM,Thursday,Auto,Bicycle,,GARDEN ST,Walden St," GARDEN ST & Walden St Cambridge, MA",42.385523,-71.132217,"(42.385523, -71.132217)",1323
5440,29172,05/23/2013 09:59:00 AM,Thursday,Taxi,Bicycle,,Massachusetts Ave,Trowbridge St," Massachusetts Ave & Trowbridge St Cambridge, MA",42.370095,-71.112929,"(42.370095, -71.112929)",740
5447,29182,05/24/2013 01:30:00 PM,Friday,Auto,Bicycle,,Cambridge St,Hampshire St," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,"(42.373729, -71.100837)",2533
5448,29183,05/24/2013 05:29:00 PM,Friday,Auto,Bicycle,1608,Cambridge St,,"1608 Cambridge St Cambridge, MA",42.374621,-71.108615,"(42.374621, -71.108615)",27
5465,29200,05/28/2013 11:20:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Beech St," Massachusetts Ave & Beech St Cambridge, MA",42.390294,-71.120996,"(42.390294, -71.120996)",2056
5479,29213,06/01/2013 07:19:00 AM,Saturday,Auto,Bicycle,,Massachusetts Ave,SOMERVILLE AVE," Massachusetts Ave & SOMERVILLE AVE Cambridge, MA",42.388965,-71.119695,"(42.388965, -71.119695)",647
5480,29216,06/01/2013 07:50:00 PM,Saturday,Auto,Bicycle,287,PROSPECT ST,,"287 PROSPECT ST Cambridge, MA",42.37251,-71.099131,"(42.37251, -71.099131)",2147
5501,29236,06/05/2013 05:54:00 PM,Tuesday,Auto,Bicycle,,MOUNT AUBURN ST,HOMER AVE," MOUNT AUBURN ST & HOMER AVE Cambridge, MA",42.374967,-71.148015,"(42.374967, -71.148015)",2234
5502,29240,06/05/2013 09:30:00 PM,Wednesday,Auto,Bicycle,,Cambridge St,HARDING ST," Cambridge St & HARDING ST Cambridge, MA",42.372409,-71.090656,"(42.372409, -71.090656)",189
5521,29258,06/08/2013 04:21:00 PM,Saturday,Auto,Bicycle,,Broadway,West Pl," Broadway & West Pl Cambridge, MA",42.37034,-71.103615,"(42.37034, -71.103615)",1089
5522,29264,06/09/2013 03:17:00 PM,Sunday,Auto,Bicycle,,Massachusetts Ave,SOMERVILLE AVE," Massachusetts Ave & SOMERVILLE AVE Cambridge, MA",42.388965,-71.119695,"(42.388965, -71.119695)",647
5525,29259,06/10/2013 05:32:00 PM,Monday,Auto,Bicycle,,Washington Ave,Columbia St," Washington Ave & Columbia St Cambridge, MA",42.365402,-71.098765,"(42.365402, -71.098765)",1634
5528,29262,06/10/2013 06:30:00 PM,Monday,Auto,Bicycle,,Third St,Cambridge St," Third St & Cambridge St Cambridge, MA",42.37102,-71.079848,"(42.37102, -71.079848)",2114
5537,29272,06/12/2013 10:06:00 PM,Wednesday,Auto,Bicycle,,Franklin St,Putnam Ave," Franklin St & Putnam Ave Cambridge, MA",42.368574,-71.113515,"(42.368574, -71.113515)",2467
5539,29274,06/13/2013 03:50:00 PM,Thursday,Auto,Bicycle,359,Broadway,,"359 Broadway Cambridge, MA",42.370608,-71.103869,"(42.370608, -71.103869)",1080
5548,29287,06/17/2013 02:45:00 PM,Monday,Auto,Bicycle,,MAIN ST,Ames St," MAIN ST & Ames St Cambridge, MA",42.362579,-71.088165,"(42.362579, -71.088165)",2316
5551,29290,06/17/2013 05:12:00 PM,Monday,Auto,Bicycle,4,Blanchard Rd,,"4 Blanchard Rd Cambridge, MA",42.386868,-71.157865,"(42.386868, -71.157865)",1820
5553,29292,06/17/2013 09:15:00 PM,Monday,Auto,Bicycle,,Massachusetts Ave,Cameron Ave," Massachusetts Ave & Cameron Ave Cambridge, MA",42.39744,-71.130266,"(42.39744, -71.130266)",2600
5558,29297,06/19/2013 08:03:00 AM,Wednesday,Auto,Bicycle,2450,Massachusetts Ave,,"2450 Massachusetts Ave Cambridge, MA",42.368925,-71.110257,"(42.368925, -71.110257)",1335
5567,29306,06/21/2013 09:10:00 AM,Friday,Auto,Bicycle,,MOUNT AUBURN ST,Brattle St," MOUNT AUBURN ST & Brattle St Cambridge, MA",42.375282,-71.145695,"(42.375282, -71.145695)",2372
5568,29307,06/21/2013 01:34:00 PM,Friday,Auto,Bicycle,1847,Massachusetts Ave,,"1847 Massachusetts Ave Cambridge, MA",42.387755,-71.119116,"(42.387755, -71.119116)",2464
5572,29311,06/23/2013 05:51:00 PM,Sunday,Auto,Bicycle,161,Washington Ave,,"161 Washington Ave Cambridge, MA",42.3649,-71.09615,"(42.3649, -71.09615)",121
5582,29321,06/24/2013 11:49:00 PM,Monday,Taxi,Bicycle,,PROSPECT ST,Cambridge St," PROSPECT ST & Cambridge St Cambridge, MA",42.37338,-71.09814,"(42.37338, -71.09814)",2043
5584,29323,06/25/2013 09:20:00 AM,Tuesday,Auto,Bicycle,1728,Massachusetts Ave,,"1728 Massachusetts Ave Cambridge, MA",42.384132,-71.119664,"(42.384132, -71.119664)",616
5598,29334,06/27/2013 08:36:00 AM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
5630,29366,07/08/2013 05:39:00 PM,Monday,Taxi,Bicycle,,Massachusetts Ave,FOREST ST," Massachusetts Ave & FOREST ST Cambridge, MA",42.38538,-71.119336,"(42.38538, -71.119336)",420
5636,29373,07/10/2013 07:50:00 AM,Wednesday,Auto,Bicycle,99,SHERMAN ST,,"99 SHERMAN ST Cambridge, MA",42.388711,-71.133179,"(42.388711, -71.133179)",1264
5637,29374,07/10/2013 09:01:00 AM,Wednesday,Auto,Bicycle,,Vassar St,Massachusetts Ave," Vassar St & Massachusetts Ave Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
5643,29380,07/12/2013 04:43:00 PM,Friday,Auto,Bicycle,204,PROSPECT ST,,"204 PROSPECT ST Cambridge, MA",42.370337,-71.100118,"(42.370337, -71.100118)",174
5657,29392,07/17/2013 06:17:00 PM,Wednesday,Auto,Bicycle,1001,Cambridge St,,"1001 Cambridge St Cambridge, MA",42.373039,-71.093565,"(42.373039, -71.093565)",1871
5661,29397,07/18/2013 10:28:00 AM,Thursday,Auto,Bicycle,,Broadway,Portland St," Broadway & Portland St Cambridge, MA",42.365792,-71.09207,"(42.365792, -71.09207)",2064
5662,29398,07/18/2013 04:06:00 PM,Thursday,Auto,Bicycle,,Webster Ave,Columbia St," Webster Ave & Columbia St Cambridge, MA",42.373214,-71.094426,"(42.373214, -71.094426)",25
5666,29406,07/19/2013 04:02:00 PM,Friday,Auto,Bicycle,223,Western Ave,,"223 Western Ave Cambridge, MA",42.364788,-71.110961,"(42.364788, -71.110961)",1632
5670,29405,07/20/2013 02:12:00 PM,Saturday,Auto,Bicycle,202,Hampshire St,,"202 Hampshire St Cambridge, MA",42.373109,-71.100254,"(42.373109, -71.100254)",1189
5671,29408,07/20/2013 12:10:00 PM,Saturday,Auto,Bicycle,,Putnam Ave,River St," Putnam Ave & River St Cambridge, MA",42.362257,-71.113547,"(42.362257, -71.113547)",661
5674,29409,07/21/2013 12:14:00 PM,Sunday,Auto,Bicycle,,MAGAZINE ST,Putnam Ave," MAGAZINE ST & Putnam Ave Cambridge, MA",42.359115,-71.111084,"(42.359115, -71.111084)",1452
5677,29418,07/21/2013 03:10:00 PM,Sunday,Auto,Bicycle,,Wheeler St,Concord Ave," Wheeler St & Concord Ave Cambridge, MA",42.388628,-71.144098,"(42.388628, -71.144098)",2462
5682,29414,07/22/2013 05:22:00 PM,Monday,Auto,Bicycle,163,Hampshire St,,"163 Hampshire St Cambridge, MA",42.371782,-71.098295,"(42.371782, -71.098295)",313
5684,29420,07/22/2013 05:23:00 PM,Monday,Auto,Bicycle,,Massachusetts Ave,LINNAEAN ST," Massachusetts Ave & LINNAEAN ST Cambridge, MA",42.384872,-71.119394,"(42.384872, -71.119394)",625
5687,29424,07/23/2013 09:42:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Trowbridge St," Massachusetts Ave & Trowbridge St Cambridge, MA",42.370095,-71.112929,"(42.370095, -71.112929)",740
5689,29440,07/23/2013 04:09:00 PM,Tuesday,Auto,Bicycle,1000,Massachusetts Ave,,"1000 Massachusetts Ave Cambridge, MA",42.368945,-71.110924,"(42.368945, -71.110924)",2047
5691,29428,07/24/2013 09:00:00 AM,Wednesday,Auto,Bicycle,139,MAIN ST,,"139 MAIN ST Cambridge, MA",42.362222,-71.082262,"(42.362222, -71.082262)",611
5710,29446,07/30/2013 05:23:00 PM,Tuesday,Auto,Bicycle,411,Broadway,Scouting Way,"411 Broadway Cambridge, MA",42.372528,-71.108791,"(42.372528, -71.108791)",798
5713,29451,07/31/2013 06:59:00 PM,Saturday,Auto,Bicycle,,GARFIELD ST,OXFORD AVE," GARFIELD ST & OXFORD AVE Cambridge, MA",42.383665,-71.116114,"(42.383665, -71.116114)",527
5717,29452,08/01/2013 08:35:00 AM,Thursday,Bus (Other),Bicycle,,GARDEN ST,Bond St," GARDEN ST & Bond St Cambridge, MA",42.381403,-71.126133,"(42.381403, -71.126133)",1361
5723,29458,08/02/2013 10:43:00 AM,Tuesday,Auto,Bicycle,2240,Massachusetts Ave,,"2240 Massachusetts Ave Cambridge, MA",42.393839,-71.126611,"(42.393839, -71.126611)",1826
5730,29465,08/03/2013 11:48:00 AM,Saturday,Auto,Bicycle,,KIRKLAND ST,OXFORD AVE," KIRKLAND ST & OXFORD AVE Cambridge, MA",42.376308,-71.115696,"(42.376308, -71.115696)",573
5734,29469,08/05/2013 08:15:00 PM,Monday,Auto,Bicycle,,Cambridge St,Hampshire St," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,"(42.373729, -71.100837)",2533
5751,29485,08/08/2013 06:39:00 PM,Thursday,Auto,Bicycle,,Broadway,Trowbridge Pl," Broadway & Trowbridge Pl Cambridge, MA",42.373196,-71.110836,"(42.373196, -71.110836)",48
5773,29507,08/14/2013 08:29:00 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Rice St," Massachusetts Ave & Rice St Cambridge, MA",42.395333,-71.127921,"(42.395333, -71.127921)",1809
5775,29509,08/14/2013 01:12:00 PM,Wednesday,Auto,Bicycle,193,Hampshire St,,"193 Hampshire St Cambridge, MA",42.372944,-71.099708,"(42.372944, -71.099708)",1178
5776,29510,08/14/2013 01:34:00 PM,Wednesday,Auto,Bicycle,440,Massachusetts Ave,,"440 Massachusetts Ave Cambridge, MA",42.363548,-71.100911,"(42.363548, -71.100911)",321
5777,29511,08/14/2013 04:05:00 PM,Wednesday,Auto,Bicycle,,MOUNT AUBURN ST,GERRY ST," MOUNT AUBURN ST & GERRY ST Cambridge, MA",42.37388,-71.124372,"(42.37388, -71.124372)",486
5782,29518,08/16/2013 06:42:00 AM,Friday,Auto,Bicycle,,MOUNT AUBURN ST,HOMER AVE," MOUNT AUBURN ST & HOMER AVE Cambridge, MA",42.374967,-71.148015,"(42.374967, -71.148015)",2234
5788,29524,08/17/2013 09:23:00 AM,Saturday,Auto,Bicycle,,Massachusetts Ave,Russell St," Massachusetts Ave & Russell St Cambridge, MA",42.391769,-71.12387,"(42.391769, -71.12387)",744
5797,29534,08/21/2013 09:49:00 AM,Wednesday,Auto,Bicycle,,HARVARD ST,Trowbridge St," HARVARD ST & Trowbridge St Cambridge, MA",42.371454,-71.112005,"(42.371454, -71.112005)",2536
5799,29536,08/21/2013 09:46:00 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Sidney St," Massachusetts Ave & Sidney St Cambridge, MA",42.36295,-71.09958,"(42.36295, -71.09958)",584
5807,29555,08/22/2013 12:40:00 PM,Thursday,Auto,Bicycle,1621,Cambridge St,,"1621 Cambridge St Cambridge, MA",42.374873,-71.109046,"(42.374873, -71.109046)",2086
5809,29545,08/23/2013 10:05:00 AM,Friday,Auto,Bicycle,32,QUINCY ST,,"32 QUINCY ST Cambridge, MA",42.374178,-71.114444,"(42.374178, -71.114444)",2084
5813,29553,08/23/2013 08:29:00 PM,Friday,Auto,Bicycle,,Massachusetts Ave,DUNSTER ST," Massachusetts Ave & DUNSTER ST Cambridge, MA",42.373333,-71.118581,"(42.373333, -71.118581)",1829
5823,29560,08/27/2013 08:00:00 PM,Tuesday,Auto,Bicycle,2150,Massachusetts Ave,,"2150 Massachusetts Ave Cambridge, MA",42.392158,-71.124614,"(42.392158, -71.124614)",1873
5827,29692,08/28/2013 02:00:00 PM,Saturday,Auto,Bicycle,,HURLEY ST,Third St," HURLEY ST & Third St Cambridge, MA",42.3683,-71.080574,"(42.3683, -71.080574)",26
5833,29571,08/30/2013 03:59:00 PM,Friday,Bicycle,Parked Vehicle,1783,Massachusetts Ave,,"1783 Massachusetts Ave Cambridge, MA",42.385988,-71.119062,"(42.385988, -71.119062)",318
5852,29585,09/05/2013 09:49:00 AM,Thursday,Truck,Bicycle,1039,Massachusetts Ave,,"1039 Massachusetts Ave Cambridge, MA",42.36993,-71.112459,"(42.36993, -71.112459)",1492
5853,29593,09/05/2013 10:00:00 AM,Thursday,Auto,Bicycle,,Hampshire St,Inman St," Hampshire St & Inman St Cambridge, MA",42.373475,-71.100531,"(42.373475, -71.100531)",1189
5863,29600,09/08/2013 05:19:00 PM,Sunday,Auto,Bicycle,,Gore St,RUFO RD," Gore St & RUFO RD Cambridge, MA",42.372598,-71.085238,"(42.372598, -71.085238)",1279
5865,29608,09/08/2013 01:09:00 PM,Sunday,Auto,Bicycle,2327,Massachusetts Ave,Woodbridge St,"2327 Massachusetts Ave Cambridge, MA",42.395899,-71.128316,"(42.395899, -71.128316)",1801
5877,29620,09/10/2013 01:03:00 PM,Tuesday,Taxi,Bicycle,2161,Massachusetts Ave,,"2161 Massachusetts Ave Cambridge, MA",42.392537,-71.124399,"(42.392537, -71.124399)",1210
5879,29622,09/10/2013 06:42:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,EXETER PARK," Massachusetts Ave & EXETER PARK Cambridge, MA",42.384803,-71.119405,"(42.384803, -71.119405)",726
5886,29631,09/12/2013 03:40:00 PM,Thursday,Auto,Bicycle,326,Broadway,,"326 Broadway Cambridge, MA",42.369442,-71.101723,"(42.369442, -71.101723)",1194
5892,29643,09/13/2013 05:10:00 PM,Saturday,Auto,Bicycle,,HURON AVE,FAYERWEATHER ST," HURON AVE & FAYERWEATHER ST Cambridge, MA",42.381305,-71.137337,"(42.381305, -71.137337)",1230
5908,29654,09/19/2013 12:04:00 PM,Thursday,Auto,Bicycle,,Kirkland Rd,MYRTLE AVE," Kirkland Rd & MYRTLE AVE Cambridge, MA",42.377979,-71.107811,"(42.377979, -71.107811)",2091
5909,29655,09/19/2013 09:20:00 AM,Thursday,Auto,Bicycle,,Putnam Ave,MOUNT AUBURN ST," Putnam Ave & MOUNT AUBURN ST Cambridge, MA",42.370091,-71.113336,"(42.370091, -71.113336)",1263
5920,29666,09/23/2013 08:15:00 AM,Monday,Auto,Bicycle,,MASSACHUSETTS  AVE BRDG,DOUGLASS ST," MASSACHUSETTS  AVE BRDG & DOUGLASS ST Cambridge, MA",42.363888,-71.101207,"(42.363888, -71.101207)",2281
5924,29663,09/24/2013 09:59:00 AM,Saturday,Auto,Bicycle,,OXFORD AVE,PRENTISS ST," OXFORD AVE & PRENTISS ST Cambridge, MA",42.384312,-71.116095,"(42.384312, -71.116095)",527
